run_id,epoch,train_loss,val_acc,lr,hidden
run-01,1,1.4573898695884866,0.756,0.001,32
run-01,2,0.45767325670161146,0.893,0.001,32
run-01,3,0.26156632380282624,0.926,0.001,32
run-01,4,0.18838362300649603,0.938,0.001,32
run-02,1,1.1646418406608257,0.841,0.001,64
run-02,2,0.3053276941497275,0.917,0.001,64
run-02,3,0.20070794193034477,0.938,0.001,64
run-02,4,0.14743968321287887,0.931,0.001,64
run-03,1,0.9663106361602215,0.87,0.001,128
run-03,2,0.26534897089004517,0.938,0.001,128
run-03,3,0.16599026124211066,0.933,0.001,128
run-03,4,0.12167533534638425,0.949,0.001,128
run-04,1,0.8195178993838899,0.892,0.003,64
run-04,2,0.19740324966768,0.942,0.003,64
run-04,3,0.13990526519557264,0.949,0.003,64
run-04,4,0.09214740975740109,0.937,0.003,64
run-05,1,2.1473961155465306,0.554,0.0001,64
run-05,2,1.7105896193930443,0.682,0.0001,64
run-05,3,1.2501383436487077,0.76,0.0001,64
run-05,4,0.8999140414785831,0.821,0.0001,64
run-06,1,0.690723477208868,0.91,0.003,128
run-06,2,0.18147600632398686,0.93,0.003,128
run-06,3,0.11182413682183052,0.948,0.003,128
run-06,4,0.0730234811756205,0.963,0.003,128
